product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
aeron,25000,25000,543,591,631,665,1082,4,0
aeron,50000,49999,495,537,572,688,9617,9,0
aeron,100000,99998,522,572,607,770,9265,19,0
aeron,140000,139978,527,569,609,744,9764,454,0
aeron,175000,174961,531,577,615,728,9789,2691,0
aeron,210000,209954,536,578,639,747,8757,2046,0
aeron,250000,249932,559,601,675,781,8986,1699,0
aeron,290000,287964,2134,2502,3465,3887,10821,48764,0
aeron,325000,321084,2129,2441,3284,3743,40927,98978,0
aeron,360000,357560,2055,2650,2813,2953,52199,55492,0
aeron,400000,397902,1766,1987,2764,2897,42401,54977,0
aeron,460000,419941,2320,2398,2701,2871,40697,1074141,0
aeron,520000,391819,2514,2619,2813,2957,28557,3233001,0
aeron,580000,481591,2017,2095,2205,2303,59899,2464738,0
aeron,640000,412502,2379,2476,2611,2938,67829,5711558,0
