product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
braft,10000,9996,641,690,729,748,1296,10,19
braft,25000,24988,658,715,757,794,1836,10,21
braft,40000,39981,660,726,777,826,1883,10,19
braft,55000,54974,641,699,752,787,1545,10,18
braft,70000,69967,644,698,756,823,2183,10,19
braft,85000,84960,635,687,748,823,1663,10,20
braft,100000,99953,666,734,834,954,1925,10,18
braft,115000,114947,682,767,892,992,2083,10,20
braft,130000,129939,723,843,973,1068,2257,10,18
braft,145000,144932,749,874,1009,1136,1897,10,17
braft,150000,149930,744,867,1001,1309,4323,10,17
braft,155000,154927,756,886,1028,1251,2169,10,18
braft,160000,159925,769,901,1041,1390,4899,10,17
braft,165000,164923,777,909,1055,1273,5831,10,17
