product,rate,achieved,p50,p90,p99,p999,max,dropped,lag,fleet
exchange-fix,10000,9995,871,935,1032,1243,2306,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,25000,24994,921,1024,1146,1414,3468,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,50000,42133,1025,1224,65600,205568,235904,12724,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,75000,55339,1136,1504,116160,261632,291328,35701,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,100000,73114,1311,17344,143616,233984,249856,75951,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,150000,106890,8176,66752,212352,266496,343296,259874,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,200000,124899,86080,143872,331520,434432,461312,1224825,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,250000,108877,156544,222720,363264,461568,498944,3859435,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,300000,88499,231808,295680,452608,570368,583168,7091325,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,350000,84321,286976,375552,544256,616960,645632,9280528,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,400000,78808,356096,472576,603136,724480,726016,11676943,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,450000,64136,507392,631808,815104,857600,875520,14341938,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,500000,64300,549888,757760,890880,958976,971264,16404593,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
