product,rate,achieved,p50,p90,p99,p999,max,dropped,lag,fleet
exchange-fix,10000,9995,716,804,884,1004,2408,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,25000,24991,784,886,1012,7248,24800,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,50000,47488,874,1064,101760,167808,197888,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,75000,56233,969,1762,133504,211328,247040,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,100000,75020,1076,26208,176640,217472,239232,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,150000,112478,9368,147456,300544,342016,377856,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,200000,121888,11184,204032,324608,357120,27394048,936445,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,250000,123408,752640,956928,1268736,1502208,16048128,3045553,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,300000,104798,1813504,2269184,2560000,2613248,2625536,6298069,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,350000,90035,2207744,2529280,2717696,2916352,2926592,9094144,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,400000,84845,2306048,2883584,3229696,3393536,3409920,11397856,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,450000,75805,2639872,2983936,3201024,3295232,3317760,13841815,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
exchange-fix,500000,66734,3055616,3409920,3747840,3784704,3803136,16425522,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
