product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
openraft,10000,9995,806,1010,1131,1950,2949,0,0
openraft,20000,19991,817,1029,1180,2162,2594,0,0
openraft,30000,29984,878,1104,1455,2353,2832,395,0
openraft,40000,39978,891,1122,1715,2459,3880,1146,0
openraft,50000,49974,933,1177,1840,2478,4184,1064,0
openraft,55000,54971,920,1160,1875,2488,4423,1074,0
openraft,60000,59968,989,1245,1972,2549,4259,960,0
openraft,70000,69962,997,1264,2123,2639,4714,1573,0
openraft,75000,74960,980,1249,2174,2686,4681,1706,0
openraft,85000,84953,1037,1344,2447,3160,6328,2852,0
openraft,92000,91896,1111,1487,2961,5038,7454,4175,0
openraft,100000,99756,1159,1652,3266,5128,7077,7092,0
openraft,110000,109492,1225,1842,3395,5308,7655,13509,0
openraft,120000,119475,1304,2018,3389,5099,6832,15833,0
openraft,130000,129034,1366,2220,3690,5099,7122,29554,0
openraft,140000,138264,1412,2369,3815,5214,8609,46179,0
