product,rate,achieved,p50,p90,p99,p999,max,dropped,lag,fleet
sequencer-fix,10000,9975,775,877,995,1231,41216,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,25000,24940,905,1159,1454,1695,41440,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,50000,49876,1020,1346,1719,18576,41728,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,75000,74816,1050,1407,1978,61408,79552,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,100000,99755,1127,1476,2004,52448,68480,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,125000,124696,1224,1650,35232,82944,96704,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,150000,149632,1345,1961,40704,84672,99584,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,175000,174644,1588,2442,48192,87360,98560,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,200000,199519,1968,3050,42144,67840,73536,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,225000,224395,2238,3512,63520,92736,109440,2058,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-fix,250000,249403,2326,3500,76544,92992,99648,3556,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
