product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer,25000,24988,747,823,897,965,2717,0,1
sequencer,50000,49977,868,991,1137,1363,3151,0,1
sequencer,75000,74966,963,1131,1317,1859,5107,0,1
sequencer,100000,99956,1126,1429,2117,3593,4563,0,38
sequencer,115000,108923,761855,1188863,1289215,1293311,1294335,0,760831
sequencer,125000,111175,1815551,2844671,3074047,3102719,3104767,0,1814527
sequencer,135000,107593,3581951,5689343,6168575,6213631,6221823,0,3581951
sequencer,150000,108628,5394431,8675327,9404415,9478143,9478143,0,5394431
sequencer,175000,109168,8335359,13606911,14843903,14991359,15007743,0,8335359
sequencer,200000,106769,11993087,19759103,21512191,21692415,21708799,0,11993087
