product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer,10000,9995,572,617,656,675,2061,0,1
sequencer,25000,24988,614,663,719,2091,3825,0,1
sequencer,40000,39981,691,787,3361,5607,9223,0,1
sequencer,55000,54975,751,2179,4327,6067,8407,0,1
sequencer,70000,69968,894,3047,4731,6291,11295,0,1
sequencer,85000,84961,976,2991,4703,5883,7943,0,1
sequencer,100000,99954,1088,3153,4835,6343,8343,0,1
sequencer,110000,109949,1126,3053,4835,6387,8055,0,1
sequencer,115000,114947,1099,3111,4983,6811,8991,0,1
sequencer,120000,119945,1141,3061,4903,6259,8095,0,8
sequencer,125000,124949,1248,3133,5059,6531,8439,0,26
sequencer,130000,129950,1430,3419,5387,6911,10007,0,68
sequencer,145000,138844,578047,930815,994815,1010175,1014271,0,575999
sequencer,160000,139497,2103295,3319807,3561471,3581951,3586047,0,2103295
