product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer,25000,24988,1268,1766,2389,4143,5607,0,1
sequencer,50000,49977,1296,1857,3053,4647,6883,0,1
sequencer,75000,74968,1327,1895,3005,4751,6635,0,1
sequencer,100000,99957,1398,1988,2877,4759,8967,0,1
sequencer,115000,114951,1468,2109,2989,4403,6591,0,1
sequencer,125000,124947,1540,2239,3153,4331,5915,0,1
sequencer,135000,134943,1576,2269,3123,4499,6631,0,4
sequencer,150000,149934,1739,2535,3533,5227,8071,0,35
sequencer,175000,168656,478975,796671,867839,872447,873471,0,477183
sequencer,200000,171132,2365439,3778559,4091903,4126719,4128767,0,2363391
