product,rate,achieved,p50,p90,p99,p999,max,dropped,lag,fleet
sequencer-quickfix,10000,9975,740,840,934,1055,41792,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,25000,24940,782,889,1040,1890,41472,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,50000,49875,879,1012,1195,1639,41568,539,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,75000,74815,981,1135,1350,2416,41728,7924,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,100000,99755,1028,1208,1482,3012,42272,26014,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,125000,124695,1239,1949,5808,9008,42080,49961,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,150000,149619,1657,7768,51296,61152,63360,54914,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,175000,152018,114752,121216,130048,133120,134656,648710,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,200000,160649,124864,130624,137600,168576,171904,1168646,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,225000,157768,142848,147712,154496,159616,164608,1959610,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-quickfix,250000,158217,160000,165120,169984,173440,196608,2650859,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
