product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer-direct,10000,9995,508,541,565,633,2817,0,1
sequencer-direct,25000,24988,568,609,654,744,2919,0,1
sequencer-direct,40000,39981,610,671,749,844,4115,0,1
sequencer-direct,55000,54974,607,696,2285,3381,5207,0,1
sequencer-direct,70000,69967,634,728,1858,3319,6483,0,1
sequencer-direct,85000,84960,659,829,2201,3533,7231,0,1
sequencer-direct,100000,99953,727,940,2389,3733,6407,0,1
sequencer-direct,110000,109949,724,934,2277,3821,8171,0,1
sequencer-direct,115000,114947,739,980,2595,4091,9063,0,1
sequencer-direct,120000,119946,805,1011,1741,3553,6331,0,1
sequencer-direct,125000,124942,784,1085,2903,4319,8407,0,1
sequencer-direct,130000,129940,808,1168,3123,5179,12751,0,1
sequencer-direct,145000,144933,882,1153,2827,4539,7343,0,1
sequencer-direct,160000,159926,900,1259,3103,4147,7107,0,1
sequencer-direct,175000,174921,961,1256,3007,4275,8279,0,1
sequencer-direct,200000,199919,1159,2749,5227,6707,11959,0,33
sequencer-direct,225000,225457,2807,395519,467711,475647,476671,59926,33
sequencer-direct,250000,249893,1627,3355,8543,11551,16687,0,8
sequencer-direct,225000,224901,1160,1532,5491,9647,11111,0,1
