product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer-multi-4c,25000,24990,629,695,1962,3536,6980,0,1
sequencer-multi-4c,55000,54982,700,2056,4108,5580,8928,0,1
sequencer-multi-4c,85000,84970,1012,2842,4660,5904,8792,0,1
sequencer-multi-4c,100000,99967,1193,2972,4772,6000,8952,0,1
sequencer-multi-4c,130000,129956,1337,3108,4876,6104,8592,0,1
sequencer-multi-4c,160000,159944,1278,3050,4852,6244,9160,0,1
sequencer-multi-4c,200000,199933,1326,3104,4920,6356,11504,0,1
sequencer-multi-4c,250000,249920,1389,2620,4572,7188,12376,0,1
sequencer-multi-4c,300000,299904,1584,2892,4908,7144,13168,0,1
sequencer-multi-4c,350000,349769,2398,10424,20624,23504,26944,0,1
