product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer-multi1,25000,24991,579,630,1048,3086,5212,0,1
sequencer-multi1,55000,54980,696,2015,4400,6240,8480,0,1
sequencer-multi1,85000,84969,890,3098,4772,6220,7980,0,1
sequencer-multi1,100000,99963,1009,3092,4816,6244,9272,0,1
sequencer-multi1,115000,114958,1048,2976,4760,6036,8248,0,1
sequencer-multi1,130000,129951,1313,3294,5292,6816,9528,0,61
sequencer-multi1,145000,139314,876032,1287168,1374208,1387520,1390592,0,875007
sequencer-multi1,160000,139247,3123200,4702208,5054464,5095424,5099520,0,3123199
sequencer-multi1,175000,140746,5025792,7655424,8273920,8335360,8347648,0,5029887
sequencer-multi1,200000,140458,8740864,13508608,14573568,14688256,14696448,0,8740863
sequencer-multi1,225000,140636,12247040,19152896,20725760,20889600,20905984,0,12255231
