product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer-multi-16c,25000,24990,576,629,694,789,3106,0,1
sequencer-multi-16c,55000,54980,637,731,836,989,2918,0,1
sequencer-multi-16c,85000,84970,759,927,1676,3426,7120,0,1
sequencer-multi-16c,100000,99965,782,949,2060,3778,7296,0,1
sequencer-multi-16c,130000,129952,835,1029,2662,4472,8528,0,1
sequencer-multi-16c,160000,159940,897,1138,3274,5028,8560,0,1
sequencer-multi-16c,200000,199932,997,1499,4058,5844,9320,0,1
sequencer-multi-16c,250000,249911,1169,2602,6496,59168,80256,0,1
sequencer-multi-16c,300000,299894,1441,3294,5400,7184,10976,0,1
sequencer-multi-16c,350000,349879,1850,4108,18288,33184,38752,0,1
sequencer-multi-16c,400000,379878,3352,113600,139776,158336,171776,454244,1
sequencer-multi-16c,450000,338260,131840,136320,152064,188416,203264,3698551,1
