product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer-multi,25000,24990,571,618,660,720,2854,0,1
sequencer-multi,55000,54981,607,678,892,2874,6384,0,1
sequencer-multi,85000,84970,694,1236,2988,3906,7628,0,1
sequencer-multi,100000,99963,747,1583,3368,4356,7760,0,1
sequencer-multi,115000,114955,792,1680,3488,4744,8312,0,1
sequencer-multi,130000,129950,806,1602,3568,5048,7900,0,1
sequencer-multi,145000,144954,847,1834,3882,5520,9752,0,1
sequencer-multi,160000,159944,870,1894,3990,5548,8108,0,1
sequencer-multi,175000,174935,883,1777,4004,5636,9368,0,1
sequencer-multi,200000,199925,949,2216,4440,6116,9920,0,1
sequencer-multi,225000,224931,1017,2474,4660,6308,9416,0,1
sequencer-multi,250000,249911,1090,2702,4848,6684,9672,0,1
sequencer-multi,275000,274905,1452,3196,5416,7964,13752,0,1
sequencer-multi,300000,299897,1632,3430,5732,8160,12960,0,1
sequencer-multi,300000,299900,1501,3272,5432,7400,10496,0,1
sequencer-multi,325000,324885,1658,3548,6020,8632,13504,0,1
sequencer-multi,350000,349878,1868,3938,16528,34976,43648,0,1
sequencer-multi,375000,372460,2196,30720,107008,169216,183040,55337,1
