product,rate,achieved,p50,p90,p99,p999,max,dropped,lag,fleet
sequencer-output-grpc,10000,9995,656,726,824,951,3088,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,25000,24990,658,734,815,994,3810,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,50000,49975,698,796,1088,2248,5100,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,75000,74965,776,948,1577,3184,5508,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,100000,99955,839,1031,1930,3622,6376,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,125000,124944,896,1129,1925,3550,6624,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,150000,149931,955,1249,2052,3556,6672,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,175000,174920,996,1292,1981,3800,7908,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,200000,199911,1054,1377,2192,4704,11536,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,225000,224907,1117,1526,2522,4856,10232,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-grpc,250000,249890,1186,1634,3966,7652,12024,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-brpc,10000,9995,685,751,864,1011,2726,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-brpc,25000,24990,681,770,872,1097,3026,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-brpc,50000,49976,718,831,1130,2314,6216,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-brpc,75000,74965,783,933,1407,3636,6228,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
sequencer-output-brpc,100000,99955,851,1045,1749,3690,8232,0,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
