product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer-output-grpc,10000,9995,589,645,704,1021,3193,0,1
sequencer-output-grpc,25000,24988,661,756,2493,4943,7059,0,1
sequencer-output-grpc,40000,39981,713,839,1751,3737,7479,0,1
sequencer-output-grpc,55000,54974,748,887,1347,2721,4935,0,1
sequencer-output-grpc,70000,69967,790,985,1520,3049,6679,0,1
sequencer-output-grpc,85000,84961,813,1007,1486,2997,5195,0,1
sequencer-output-grpc,100000,99954,864,1131,1785,3623,7139,0,1
sequencer-output-grpc,110000,109949,943,1287,1958,3581,7099,0,16
sequencer-output-grpc,115000,114948,1050,1590,2673,3997,5787,0,85
sequencer-output-grpc,120000,119998,5491,13079,17983,21663,28367,0,4491
sequencer-output-grpc,125000,120492,395519,714751,801279,810495,812031,0,393983
sequencer-output-grpc,130000,120945,1101823,1670143,1793023,1809407,1811455,0,1089535
sequencer-output-brpc,10000,9995,602,668,715,763,3809,0,1
sequencer-output-brpc,25000,24988,671,774,2081,3635,6403,0,1
sequencer-output-brpc,40000,39981,714,841,1486,3217,5551,0,1
