product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer-relay,10000,9995,668,785,827,867,3181,0,1
sequencer-relay,25000,24988,755,886,2193,4351,10071,0,1
sequencer-relay,40000,39981,830,1127,2851,4411,6667,0,1
sequencer-relay,55000,54974,833,1037,2091,3791,6159,0,1
sequencer-relay,70000,69968,893,1190,2425,3593,6271,0,1
sequencer-relay,85000,84961,927,1231,2435,3585,5515,0,1
sequencer-relay,100000,99954,986,1311,2307,3765,6055,0,1
sequencer-relay,110000,109949,1019,1426,2487,3783,7191,0,8
sequencer-relay,115000,114948,1091,1594,2663,4111,7575,0,31
sequencer-relay,120000,119947,1239,2041,3435,4543,6475,0,175
sequencer-relay,125000,124266,145791,201855,212351,214783,217087,0,144511
sequencer-relay,130000,122277,997375,1492991,1624063,1639423,1640447,0,986623
