product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer,10000,9995,539,555,577,601,2739,0,1
sequencer,25000,24991,602,650,693,739,4611,0,1
sequencer,40000,39981,627,682,2829,4935,7583,0,1
sequencer,55000,54981,665,1950,4347,5923,7851,0,1
sequencer,70000,69967,810,2855,4615,6095,8207,0,1
sequencer,85000,84961,1281,3247,4719,6031,9007,0,1
sequencer,100000,99955,1366,3379,4915,6215,8271,0,1
sequencer,110000,109949,1349,3383,5027,6747,10055,0,1
sequencer,115000,114948,1360,3447,5179,6855,9495,0,16
sequencer,120000,119957,1501,3437,5367,6931,10111,0,65
sequencer,125000,124952,1959,4183,6271,7999,12719,0,309
sequencer,130000,129989,6039,26767,37855,40159,45311,0,4051
