config,rate,rep,achieved,p50,p90,p99,p999,max,dropped,lag
ae_cache,100000,1,99969,758,877,1015,3939,9463,10,63
ae_cache,100000,2,99969,764,878,1011,5455,16703,10,70
ae_cache,100000,3,99969,760,871,994,1161,3397,10,69
ae_cache,125000,1,124962,898,1070,1253,1495,2259,10,53
ae_cache,150000,1,149959,1253,1777,2453,3879,5815,10,55
ae_cache,150000,2,149880,1370,1777,3517,3879,5815,2334,55
ae_cache,160000,1,159675,2215,,14767,,,13500,
ae_cache,175000,1,172380,8935,11975,13135,13967,35359,129743,71
ae_cache_pipe16,100000,1,99970,844,1001,1188,1560,9191,10,54
ae_cache_pipe16,100000,2,99945,849,1007,1199,8035,32031,713,56
