rate,burst,warmup,rep,achieved,p50,p90,p99,p999,p9999,max,mean,lag_p99
10000,1,10,1,9997,575,634,685,854,1257,2211,581,1
10000,1,10,2,9997,596,659,716,831,1051,1225,602,15
20000,1,10,1,19994,653,749,868,1179,1703,2201,663,4
20000,1,10,2,19994,673,766,882,1068,1526,2091,682,4
25000,1,10,1,24992,671,779,956,1433,1852,2725,685,1
25000,1,10,2,24992,684,781,939,1405,1784,2435,694,11
30000,1,10,1,29991,690,801,1043,1587,1974,2599,707,5
30000,1,10,2,29991,698,813,1103,1609,2009,2565,717,1
40000,1,10,1,39987,732,893,1418,1970,2847,4551,764,6
40000,1,10,2,39988,737,942,1577,2471,4831,7107,783,4
50000,1,10,1,49985,812,1288,2945,13727,20623,22031,964,5
50000,1,10,2,49985,773,1019,1882,3303,7027,9199,837,5
10000,10,10,1,9997,697,929,1601,1704,1953,2281,767,26
10000,10,10,2,9997,685,901,1579,1642,2022,3719,753,25
10000,10,10,3,9997,680,929,1570,1648,1864,2149,751,25
10000,10,40,1,9997,698,900,1595,1698,1858,2033,758,25
50000,10,10,1,49985,733,847,1124,1688,2369,2957,747,42
50000,10,10,2,49984,731,842,1103,1698,2829,3717,742,42
50000,10,10,3,49984,732,840,1095,1658,2209,2753,742,40
