product,rate,rep,achieved,p50,p90,p99,p999,max,dropped,lag
braft,10000,1,9997,620,682,918,1178,5703,10,15
braft,25000,1,24992,653,708,743,790,1563,10,14
braft,50000,1,49984,655,705,784,890,2941,10,17
braft,75000,1,74977,681,762,866,5135,17951,10,18
braft,100000,1,99969,773,897,1028,1150,1937,10,16
braft,100000,2,99934,768,889,1037,9535,32143,1063,17
braft,125000,1,124885,893,1064,1277,12847,34207,2277,16
braft,125000,2,124962,882,1047,1234,1468,4715,10,16
braft,140000,1,139958,1059,1404,1842,4451,10375,10,16
braft,140000,2,139958,1046,1342,1756,3383,5747,10,21
braft,150000,1,149958,1358,1976,2779,3869,8799,1466,17
braft,150000,2,149880,1451,2149,3529,13247,25855,2326,16
braft,160000,1,159863,2197,3735,6919,12431,30463,3008,16
braft,160000,2,159932,2483,4259,7303,9695,19695,3663,16
braft,175000,1,170005,10719,12439,13343,13975,14711,193056,16
braft,200000,1,175323,11295,12535,13423,14183,38239,1036148,16
