config,rate,achieved,p50,p90,p99,p999,dropped
baseline,100000,99969,764,886,1039,1388,10
baseline,100000,99969,763,883,1022,1250,10
baseline,150000,149971,2131,4807,8895,10327,10
baseline,150000,149956,1995,4387,9287,13287,10
baseline,160000,159284,4403,11575,13703,14839,40526
pipe8cache16,100000,99969,744,849,983,1444,10
pipe8cache16,100000,99969,745,857,1009,1298,10
pipe8cache16,150000,149956,1619,3367,11927,25471,10
pipe8cache16,150000,149954,1493,2507,3977,5495,10
pipe8cache16,160000,159908,3411,7211,11823,13695,4970
pipe8cache16,150000,149956,1264,1944,2879,3707,10
pipe8cache16,170000,167445,6367,14015,53215,76095,99949
baseline,150000,149954,1634,2669,4163,5287,10
baseline,170000,167294,9111,12319,13687,14511,101279
baseline,160000,159506,4015,10031,13655,15071,18514
pipe8cache16,160000,159658,4467,10175,13391,20895,11213
pipe8only,160000,159955,2665,4971,7643,10263,10
pipe8only,160000,159955,2233,3993,6087,7727,10
pipe8only,175000,171955,8855,11959,13623,14559,138558
pipe8only,190000,177806,10559,12407,13615,14695,477680
pipe8only,165000,164928,3531,6855,10263,13031,4641
pipe8only,170000,167279,8559,14271,71039,87615,93887
ed2,100000,99969,771,886,1019,1261,10
ed2,100000,99969,775,901,1045,1222,10
ed2,150000,149947,1547,3453,14839,26383,240
conc6,100000,99969,715,835,982,1114,10
conc6,100000,99969,718,841,982,1134,10
conc6,150000,149939,883,1145,19919,28255,10
conc6,150000,149955,855,1021,1189,1768,10
