product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
braft,10000,9997,634,715,746,790,1335,10,18
braft,25000,24992,704,852,949,1047,1504,10,16
braft,40000,39987,651,736,799,843,1437,10,17
braft,55000,54983,657,712,776,833,1742,10,16
braft,55000,54983,664,729,795,861,4159,10,18
braft,70000,69978,684,756,823,898,2975,10,18
braft,85000,84974,717,797,882,993,3939,10,20
braft,100000,99969,749,851,983,1311,4479,10,18
braft,100000,99969,746,847,986,1281,3147,10,19
braft,115000,114964,819,1014,1312,1679,4675,10,19
braft,130000,129961,964,1372,1942,3449,7031,10,24
braft,145000,144955,1321,2095,3349,4647,6835,10,18
braft,145000,144957,1244,1838,2709,3557,4903,10,17
braft,150000,149960,1442,2301,3459,4707,6043,10,18
braft,150000,149954,1505,2391,3567,4751,5439,10,17
braft,155000,154958,1517,2335,3409,4787,7739,10,18
braft,155000,154992,2207,4367,8511,13087,14671,10,31
braft,160000,159955,2665,4971,7643,10263,12535,10,20
braft,160000,159955,2233,3993,6087,7727,8623,10,17
braft,165000,164928,3531,6855,10263,13031,13903,4641,20
braft,165000,163671,5343,16895,39359,51007,52383,47608,58
braft,170000,167279,8559,14271,71039,87615,89343,93887,58
braft,170000,168347,6795,11695,13647,14783,15871,70144,18
braft,175000,171955,8855,11959,13623,14559,15527,138558,19
braft,190000,177806,10559,12407,13615,14695,15951,477680,21
braft,200000,177610,10511,13167,15575,17263,18863,863356,21
