config,rate,achieved,p50,p90,p99,p999,max,mean,dropped,lag_p99
baseline,100000,99996,1583,6471,10623,11839,13495,2602,1268,62
baseline,100000,99970,1057,2761,8783,10983,12583,1585,10,71
pooled,100000,48760,20398079,34603007,36601855,36765695,36798463,20024734,10,36601855
pooled,100000,48169,25575423,37060607,39944191,40337407,40370175,24271301,10,39944191
edn4,100000,99974,1058,3871,9751,11487,13167,1801,10,107
edn4,100000,99975,1020,3033,8543,11119,12527,1591,651,62
edn4-burst1,100000,99969,1410,5671,10191,11535,12735,2334,1,15
edn4-burst1,100000,99969,1455,5887,10263,11551,12703,2400,1,23
pipe16,100000,99971,1975,6991,10663,11695,12695,3055,10,67
pipe16,100000,99973,2299,7667,10711,11647,12671,3428,10,75
pooled-cap400,100000,99662,976,1879,3691,5871,11135,1180,11382,678
pooled-cap250,100000,98853,961,1767,3121,3993,7671,1130,45944,388
pooled-cap600,100000,99812,1006,2053,4403,8471,11295,1264,6037,1332
pooled-cap1000,100000,99948,1027,2189,6343,11711,32127,1360,574,2345
chan4,100000,99970,1178,4259,9535,11407,13447,1952,10,139
chan8,100000,99969,1009,2647,8335,11039,12743,1502,10,209
chan16,100000,99971,1115,3625,9303,11311,12927,1786,10,178
single-cap400,100000,99630,861,1591,3805,4919,5999,1039,16158,66
single-cap250,100000,97760,946,1870,3247,3739,15879,1152,89951,60
single-cap1000,100000,99908,887,1888,6975,10279,11375,1218,3051,72
single-cap1000,100000,99844,912,2059,7215,10415,31663,1276,4564,64
conc8,100000,99978,1908,6979,10375,11495,12639,2966,10,66
conc8,100000,99968,1366,5427,9775,11463,25023,2235,60,79
